survey_id,submitted_at,product_line,region,rating,comment_raw
S0074,2024-01-14,AirPods,US,1,"Terrible help."
S0075,2024-01-15,Services,US,4,"Satisfied overall."
S0076,2024-01-16,iPhone,APAC,3,"Neutral."
S0077,2024-01-17,Mac,EU,2,"Too slow."
S0078,2024-01-18,Watch,US,5,"Fantastic agent."
S0079,2024-01-19,AirPods,LATAM,4,"Good support."
S0080,2024-01-20,Services,US,1,"Still unresolved."

S0081,2024-02-01,iPhone,US,5,"Very happy with support."
S0082,2024-02-02,Mac,EU,4,"Good guidance."
S0083,2024-02-03,Watch,US,3,"Average call."
S0084,2024-02-04,AirPods,APAC,2,"Confusing instructions."
S0085,2024-02-05,Services,US,1,"Account recovery failed."
S0086,2024-02-06,iPhone,LATAM,5,"Great advisor."
S0087,2024-02-07,Mac,US,4,"Helpful and calm."
S0088,2024-02-08,Watch,EU,3,"Okay support."
S0089,2024-02-09,AirPods,US,2,"Too many transfers."
S0090,2024-02-10,Services,APAC,5,"Excellent outcome."

S0091,2024-02-11,iPhone,US,4,"Support was solid."
S0092,2024-02-12,Mac,LATAM,3,"Not bad."
S0093,2024-02-13,Watch,EU,5,"Very impressed."
S0094,2024-02-14,AirPods,US,1,"Poor communication."
S0095,2024-02-15,Services,US,4,"Issue resolved."
S0096,2024-02-16,iPhone,APAC,3,"Average service."
S0097,2024-02-17,Mac,EU,2,"Slow fix."
S0098,2024-02-18,Watch,US,5,"Excellent experience."
S0099,2024-02-19,AirPods,LATAM,4,"Clear explanation."
S0100,2024-02-20,Services,US,1,"Extremely frustrating process."
